CUSTOMER_ID,CUSTOMER_NAME,CITY,REGION,SEGMENT,Total_expenditure,total_orders,Repeating_customers,Total_Profit,Profits,Avg_Spending_on_each_Order,Prefered_category,prefered_sub_category,buying_only_discounted,SHIP_MODE,ShipMode_Count,Most_brought_products,quantity_of_products
AT-10435,Alyssa Tate,Los Angeles,West,Home Office,23263.259999999995,10,Repeated,,2009.140000000002,2326.3259999999996,Office Supplies,Art,not always,Second Class,90,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",20
AT-10735,Annie Thurman,Seattle,West,Consumer,73951.44000000013,18,Repeated,18770.00400000002,18770.00400000002,4108.413333333341,Office Supplies,Appliances,not always,Standard Class,160,VariCap6 Expandable Binder,20
AW-10840,Anthony Witt,Allen,Central,Consumer,12987.519999999986,8,Repeated,,1315.4500000000014,1623.4399999999982,Furniture,Furnishings,not always,First Class,80,Xerox 210,20
AW-10930,Arthur Wiediger,Aurora,Central,Home Office,56377.31999999998,13,Repeated,,-1665.298000000001,4336.716923076921,Office Supplies,Binders,not always,Second Class,140,Xerox 1975,20
AY-10555,Andy Yotov,Oceanside,West,Corporate,7860.219999999995,6,Repeated,1410.8990000000003,1410.8990000000003,1310.0366666666657,Furniture,Chairs,not always,Second Class,80,Prestige Round Ring Binders,20
AZ-10750,Annie Zypern,New York City,East,Consumer,28520.660000000018,10,Repeated,,2370.382000000002,2852.0660000000016,Office Supplies,Art,not always,Standard Class,150,Portable Personal File Box,20
BB-10990,Barry Blumstein,Inglewood,West,Corporate,12123.999999999982,9,Repeated,,231.67800000000017,1347.111111111109,Office Supplies,Appliances,not always,Standard Class,80,Staples,20
BB-11545,Brenda Bowman,Houston,Central,Corporate,135314.55999999976,18,Repeated,,20301.499999999978,7517.475555555542,Furniture,Chairs,not always,Standard Class,320,Xerox 1981,20
BC-11125,Becky Castell,Peoria,West,Home Office,50487.559999999976,16,Repeated,,4650.644000000001,3155.4724999999985,Office Supplies,Art,not always,Second Class,160,Xerox 1966,20
BD-11320,Bill Donatelli,San Francisco,West,Consumer,114370.42000000003,24,Repeated,,21890.074000000044,4765.434166666668,Technology,Phones,not always,Standard Class,300,Xerox 1948,20
BD-11500,Bradley Drucker,Green Bay,Central,Consumer,80093.12000000004,10,Repeated,,19751.681,8009.3120000000035,Furniture,Bookcases,not always,Standard Class,130,Sterilite Officeware Hinged File Box,20
BD-11560,Brendan Dodson,Fresno,West,Home Office,6410.8,4,Repeated,2334.2799999999997,2334.2799999999997,1602.7,Office Supplies,Paper,not always,Standard Class,80,Xerox 1982,20
BD-11605,Brian Dahlen,Lawrence,East,Consumer,43919.110000000044,12,Repeated,,9267.588000000007,3659.925833333337,Office Supplies,Paper,not always,Standard Class,260,Xerox 222,20
BD-11620,Brian DeCherney,San Francisco,West,Consumer,27655.320000000007,11,Repeated,,3047.729999999997,2514.120000000001,Technology,Phones,not always,Standard Class,60,Rubber Band Ball,20
BD-11635,Brian Derr,Bowling Green,South,Consumer,10733.720000000001,5,Repeated,2715.7799999999997,2715.7799999999997,2146.744,Furniture,Chairs,not always,Second Class,70,Xerox 188,20
BD-11725,Bruce Degenhardt,Richmond,South,Consumer,30529.99999999998,12,Repeated,6679.582000000003,6679.582000000003,2544.166666666665,Furniture,Furnishings,not always,Standard Class,80,Tennsco Double-Tier Lockers,20
BD-11770,Bryan Davis,Houston,Central,Consumer,13169.319999999985,12,Repeated,2825.299999999997,2825.299999999997,1097.443333333332,Office Supplies,Art,not always,Standard Class,180,Xerox 1945,20
BE-11335,Bill Eplett,Jackson,Central,Home Office,84093.52000000003,10,Repeated,29755.478,29755.478,8409.352000000003,Furniture,Furnishings,not always,Standard Class,140,Xerox 1893,20
BE-11410,Bobby Elias,Lancaster,East,Consumer,45228.76000000001,10,Repeated,15118.301999999998,15118.301999999998,4522.876000000001,Office Supplies,Paper,not always,Standard Class,40,Xerox 1941,20
BE-11455,Brad Eason,Olathe,Central,Home Office,34553.040000000015,12,Repeated,,2784.015999999994,2879.4200000000014,Office Supplies,Binders,not always,Second Class,120,Xerox 1951,20
BF-10975,Barbara Fisher,Charlotte,South,Corporate,9787.599999999988,12,Repeated,,3927.4699999999943,815.6333333333323,Office Supplies,Paper,not always,Standard Class,140,Xerox 202,20
BF-11005,Barry Franz,Pasadena,West,Home Office,26531.84000000003,7,Repeated,,-5851.308000000001,3790.2628571428613,Furniture,Furnishings,not always,Standard Class,190,"Tenex Chairmat w/ Average Lip, 45"" x 53""",20
BF-11020,Barry Französisch,Green Bay,Central,Corporate,57556.5200000001,15,Repeated,,5968.31,3837.10133333334,Furniture,Chairs,not always,Second Class,240,XtraLife ClearVue Slant-D Ring Binders by Cardinal,20
BF-11080,Bart Folk,Baltimore,East,Consumer,5312.3,5,Repeated,2178.9350000000013,2178.9350000000013,1062.46,Office Supplies,Paper,not always,First Class,60,Xerox 1939,20
BF-11170,Ben Ferrer,Los Angeles,West,Home Office,98412.56000000013,19,Repeated,,28102.932999999994,5179.608421052639,Furniture,Furnishings,not always,Standard Class,290,Xerox 1991,20
BF-11215,Benjamin Farhat,Albuquerque,West,Home Office,31138.040000000045,7,Repeated,10249.490000000009,10249.490000000009,4448.291428571435,Office Supplies,Paper,not always,Second Class,100,Xerox 230,20
BF-11275,Beth Fritzler,Tucson,West,Corporate,11952.760000000004,5,Repeated,,638.7000000000003,2390.5520000000006,Office Supplies,Appliances,not always,Standard Class,60,Polycom SoundPoint IP 450 VoIP phone,20
BG-11035,Barry Gonzalez,Monroe,South,Consumer,54057.88000000003,14,Repeated,,-14770.454000000025,3861.2771428571446,Office Supplies,Art,not always,Standard Class,170,"TOPS Voice Message Log Book, Flash Format",20
BG-11695,Brooke Gillingham,Cincinnati,East,Corporate,37124.34000000005,11,Repeated,,2054.473,3374.940000000004,Furniture,Chairs,not always,Standard Class,110,Wilson Jones data.warehouse D-Ring Binders with DublLock,20
BG-11740,Bruce Geld,Philadelphia,East,Consumer,20027.999999999993,11,Repeated,2354.7439999999983,2354.7439999999983,1820.727272727272,Furniture,Furnishings,not always,Standard Class,80,"Tenex Personal Project File with Scoop Front Design, Black",20
BH-11710,Brosina Hoffman,Los Angeles,West,Consumer,79874.69999999998,14,Repeated,,13697.702999999985,5705.335714285713,Office Supplies,Binders,not always,Standard Class,310,iHome FM Clock Radio with Lightning Dock,20
BK-11260,Berenike Kampe,New York City,East,Consumer,8401.059999999994,10,Repeated,,14.923999999999879,840.1059999999994,Office Supplies,Supplies,not always,Standard Class,210,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",20
BM-11140,Becky Martin,San Antonio,Central,Consumer,130393.63999999985,7,Repeated,,-14411.269999999991,18627.662857142837,Office Supplies,Storage,not always,First Class,120,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,20
BM-11575,Brendan Murry,New York City,East,Corporate,16163.239999999987,12,Repeated,,1911.6319999999998,1346.9366666666656,Furniture,Bookcases,not always,Standard Class,120,"Bush Westfield Collection Bookcases, Medium Cherry Finish",40
BM-11650,Brian Moss,New York City,East,Corporate,139749.57000000018,19,Repeated,,43169.10999999999,7355.240526315799,Office Supplies,Binders,not always,Standard Class,220,Adjustable Depth Letter/Legal Cart,40
BM-11785,Bryan Mills,Columbus,East,Consumer,20020.759999999995,17,Repeated,,1613.8299999999983,1177.691764705882,Technology,Accessories,not always,Second Class,140,"Verbatim Slim CD and DVD Storage Cases, 50/Pack",20
BN-11470,Brad Norvell,Cary,South,Corporate,3381.679999999998,7,Repeated,485.45499999999976,485.45499999999976,483.09714285714256,Office Supplies,Fasteners,not always,Standard Class,50,Staples,20
BN-11515,Bradley Nguyen,Los Angeles,West,Consumer,24079.780000000006,8,Repeated,4960.397000000002,4960.397000000002,3009.9725000000008,Furniture,Furnishings,not always,Standard Class,230,"Seth Thomas 12"" Clock w/ Goldtone Case",20
BO-11350,Bill Overfelt,Los Angeles,West,Corporate,53654.559999999925,10,Repeated,,5575.539999999998,5365.455999999993,Office Supplies,Binders,not always,Standard Class,240,Wilson Jones Legal Size Ring Binders,20
BO-11425,Bobby Odegard,Richmond,South,Consumer,2616.5999999999995,4,Repeated,1189.0439999999994,1189.0439999999994,654.1499999999999,Office Supplies,Art,not always,Standard Class,40,Manco Dry-Lighter Erasable Highlighter,20
BP-11050,Barry Pond,Cranston,East,Corporate,19445.99999999999,9,Repeated,,4170.639999999998,2160.6666666666656,Office Supplies,Storage,not always,Standard Class,110,Wilson Jones Easy Flow II Sheet Lifters,20
BP-11095,Bart Pistole,Peoria,Central,Corporate,39146.19999999995,20,Repeated,,7362.408000000018,1957.3099999999977,Office Supplies,Binders,not always,Standard Class,150,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,30
BP-11155,Becky Pak,Columbus,South,Consumer,33957.21999999998,12,Repeated,,12947.694000000001,2829.7683333333316,Office Supplies,Binders,not always,Second Class,160,Xerox 1960,20
BP-11185,Ben Peterman,Arvada,West,Corporate,73517.22000000007,18,Repeated,,7271.982000000007,4084.290000000004,Furniture,Furnishings,not always,Standard Class,160,Xerox 1981,20
BP-11230,Benjamin Patterson,Spokane,West,Consumer,23030.59999999998,9,Repeated,,-4221.021999999999,2558.9555555555535,Furniture,Furnishings,not always,Standard Class,90,Xerox 232,20
BP-11290,Beth Paige,Evanston,Central,Consumer,46920.35000000002,13,Repeated,,-5680.230999999998,3609.257692307694,Furniture,Chairs,always,Standard Class,260,"Xerox Color Copier Paper, 11"" x 17"", Ream",20
BS-11365,Bill Shonely,New York City,East,Corporate,197014.32999999975,7,Repeated,50214.28900000008,50214.28900000008,28144.904285714252,Furniture,Furnishings,not always,Standard Class,110,Wilson Jones Standard D-Ring Binders,20
BS-11380,Bill Stewart,Skokie,Central,Corporate,77630.44000000002,9,Repeated,,-390.0940000000004,8625.604444444447,Office Supplies,Binders,not always,Standard Class,250,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",20
BS-11590,Brendan Sweed,Gilbert,West,Corporate,35366.579999999994,9,Repeated,,6661.006000000004,3929.6199999999994,Office Supplies,Art,not always,Standard Class,110,ShoreTel ShorePhone IP 230 VoIP phone,20
BS-11665,Brian Stugart,Philadelphia,East,Consumer,64898.44000000001,5,Repeated,,4763.938999999997,12979.688000000002,Furniture,Furnishings,not always,Standard Class,210,Xerox 203,20
BS-11755,Bruce Stewart,Denver,West,Consumer,41236.17999999995,12,Repeated,,1039.4150000000004,3436.3483333333293,Office Supplies,Appliances,not always,Standard Class,230,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,20
BS-11800,Bryan Spruell,New York City,East,Home Office,18988.59999999997,4,Repeated,3881.0319999999992,3881.0319999999992,4747.149999999992,Office Supplies,Labels,not always,First Class,120,Xerox 212,20
BT-11305,Beth Thompson,Costa Mesa,West,Home Office,30743.020000000037,9,Repeated,5442.8830000000025,5442.8830000000025,3415.891111111115,Furniture,Furnishings,not always,Standard Class,110,Prang Drawing Pencil Set,20
BT-11395,Bill Tyler,Detroit,Central,Corporate,41152.46000000001,11,Repeated,,4410.184000000002,3741.132727272728,Office Supplies,Binders,not always,Standard Class,150,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",20
BT-11440,Bobby Trafton,Littleton,West,Consumer,7530.339999999997,6,Repeated,,-1494.2499999999998,1255.0566666666662,Furniture,Bookcases,not always,Standard Class,50,Xerox 1937,20
BT-11485,Brad Thomas,Clinton,East,Home Office,8303.919999999998,4,Repeated,2537.3880000000004,2537.3880000000004,2075.9799999999996,Furniture,Furnishings,not always,Standard Class,40,Xerox 1950,20
BT-11530,Bradley Talbott,Los Angeles,West,Home Office,51207.43999999996,8,Repeated,,7522.2539999999935,6400.929999999995,Office Supplies,Paper,not always,Second Class,120,Xerox 1924,20
BT-11680,Brian Thompson,Newark,East,Consumer,53946.54,13,Repeated,,10952.668000000007,4149.733846153847,Furniture,Furnishings,not always,Standard Class,330,Xerox 209,20
BV-11245,Benjamin Venier,Des Moines,Central,Corporate,30465.459999999992,10,Repeated,,6304.428000000008,3046.5459999999994,Office Supplies,Binders,not always,Standard Class,200,iOttie HLCRIO102 Car Mount,20
BW-11065,Barry Weirich,Raleigh,South,Consumer,7564.119999999998,5,Repeated,,-1232.984,1512.8239999999996,Furniture,Furnishings,not always,Standard Class,50,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",20
BW-11110,Bart Watters,Milwaukee,Central,Corporate,95007.1599999999,16,Repeated,,18425.148000000027,5937.947499999994,Office Supplies,Paper,not always,Standard Class,260,Xerox 205,20
BW-11200,Ben Wallace,Boynton Beach,South,Consumer,25694.839999999956,10,Repeated,,4065.4259999999945,2569.483999999996,Furniture,Chairs,not always,Standard Class,130,Rogers Profile Extra Capacity Storage Tub,20
CA-11965,Carol Adams,Hoover,South,Corporate,74268.05600000006,11,Repeated,,22419.949999999983,6751.64145454546,Technology,Copiers,not always,Second Class,120,Sharp 1540cs Digital Laser Copier,20
CA-12055,Cathy Armstrong,Houston,Central,Home Office,33594.48000000002,10,Repeated,,4225.117999999997,3359.4480000000017,Office Supplies,Binders,not always,Standard Class,140,V7 USB Numeric Keypad,20
CA-12265,Christina Anderson,Chicago,Central,Consumer,51955.244,16,Repeated,,5425.475999999999,3247.20275,Office Supplies,Binders,not always,Standard Class,210,iOttie XL Car Mount,20
CA-12310,Christine Abelman,Cincinnati,East,Corporate,23886.77999999998,7,Repeated,,3910.4719999999925,3412.39714285714,Office Supplies,Storage,not always,Standard Class,180,WD My Passport Ultra 1TB Portable External Hard Drive,20
CA-12775,Cynthia Arntzen,Tampa,South,Consumer,44172.93000000003,12,Repeated,,2971.8269999999984,3681.0775000000026,Office Supplies,Binders,not always,Second Class,100,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,20
CB-12025,Cassandra Brandow,Hamilton,East,Consumer,121317.42000000003,18,Repeated,,2951.484000000002,6739.856666666668,Office Supplies,Binders,not always,Standard Class,330,"Hot File 7-Pocket, Floor Stand",40
CB-12415,Christy Brittain,Columbus,East,Consumer,38983.99999999997,16,Repeated,,5447.765999999995,2436.499999999998,Office Supplies,Binders,not always,Standard Class,160,Tops Green Bar Computer Printout Paper,20
CB-12535,Claudia Bergmann,Chapel Hill,South,Corporate,84929.11000000002,16,Repeated,,20991.20199999997,5308.069375000001,Furniture,Furnishings,not always,Standard Class,240,Xerox 1959,20
CC-12100,Chad Cunningham,Columbus,Central,Home Office,22336.939999999988,11,Repeated,,2743.366000000002,2030.630909090908,Office Supplies,Binders,not always,Standard Class,140,Samsung Rugby III,20
CC-12145,Charles Crestani,Los Angeles,West,Consumer,47668.05999999999,13,Repeated,,7058.3380000000025,3666.7738461538456,Office Supplies,Paper,not always,Standard Class,120,Xerox 1954,20
CC-12220,Chris Cortes,La Porte,Central,Consumer,71941.29999999997,21,Repeated,,7755.156000000004,3425.776190476189,Technology,Phones,not always,Standard Class,170,Xerox 1983,20
CC-12370,Christopher Conant,Fayetteville,South,Consumer,242581.4399999999,10,Repeated,,43540.98600000001,24258.14399999999,Office Supplies,Paper,not always,Standard Class,140,Zipper Ring Binder Pockets,20
CC-12430,Chuck Clark,Columbus,Central,Home Office,57400.99999999994,20,Repeated,,8493.165999999988,2870.049999999997,Furniture,Furnishings,not always,Standard Class,200,Logitech G19 Programmable Gaming Keyboard,40
CC-12475,Cindy Chapman,New York City,East,Consumer,32624.760000000006,17,Repeated,,3063.1799999999985,1919.103529411765,Office Supplies,Paper,not always,Standard Class,130,Xerox 1972,20
CC-12550,Clay Cheatham,San Francisco,West,Consumer,2276.6399999999985,6,Repeated,677.4119999999995,677.4119999999995,379.43999999999977,Office Supplies,Paper,not always,Standard Class,60,Xerox 1998,20
